Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
,,,2022-08-08 13:55:55.643,-0.137,-0.023
,,,2022-08-08 13:55:56.142,-0.137,-0.031
,,,2022-08-08 13:55:56.643,-0.103,-0.031
,,,2022-08-08 13:55:57.143,-0.125,-0.019
,,,2022-08-08 13:55:57.644,-0.173,-0.016
,,,2022-08-08 13:55:58.141,-0.158,-0.033
,,,2022-08-08 13:55:58.642,-0.158,-0.026
,,,2022-08-08 13:55:59.143,-0.152,-0.021
,,,2022-08-08 13:55:59.644,-0.1,-0.019
,,,2022-08-08 13:56:00.142,-0.138,-0.019
,,,2022-08-08 13:56:00.642,-0.16,-0.019
,,,2022-08-08 13:56:01.142,-0.215,-0.048
,,,2022-08-08 13:56:01.642,-0.108,-0.045
,,,2022-08-08 13:56:02.143,-0.15,-0.014
,,,2022-08-08 13:56:02.642,-0.128,-0.06
,,,2022-08-08 13:56:03.141,-0.103,-0.041
,,,2022-08-08 13:56:03.642,-0.18,-0.045
,,,2022-08-08 13:56:04.142,-0.118,-0.026
,,,2022-08-08 13:56:04.644,-0.093,-0.029
,,,2022-08-08 13:56:05.144,-0.153,-0.031
,,,2022-08-08 13:56:05.642,-0.115,-0.008
,,,2022-08-08 13:56:06.142,-0.117,-0.051
,,,2022-08-08 13:56:06.642,-0.127,-0.031
,,,2022-08-08 13:56:07.142,-0.142,-0.026
,,,2022-08-08 13:56:07.642,-0.195,-0.051
,,,2022-08-08 13:56:08.142,-0.13,-0.011
,,,2022-08-08 13:56:08.642,-0.229,-0.021
,,,2022-08-08 13:56:09.141,-0.122,-0.035
,,,2022-08-08 13:56:09.641,-0.165,-0.021
,,,2022-08-08 13:56:10.142,-0.105,-0.036
,,,2022-08-08 13:56:10.642,-0.16,-0.019
,,,2022-08-08 13:56:11.143,-0.127,-0.028
,,,2022-08-08 13:56:11.643,-0.148,-0.019
,,,2022-08-08 13:56:12.142,-0.155,-0.021
,,,2022-08-08 13:56:12.642,-0.147,-0.05
,,,2022-08-08 13:56:13.142,-0.125,-0.014
,,,2022-08-08 13:56:13.642,-0.113,-0.016
,,,2022-08-08 13:56:14.142,-0.12,-0.026
,,,2022-08-08 13:56:14.642,-0.132,-0.041
,,,2022-08-08 13:56:15.142,-0.17,-0.026
,,,2022-08-08 13:56:15.641,-0.135,-0.035
,,,2022-08-08 13:56:16.142,-0.163,-0.028
,,,2022-08-08 13:56:16.642,-0.163,-0.035
,,,2022-08-08 13:56:17.143,-0.117,-0.014
,,,2022-08-08 13:56:17.642,-0.148,-0.024
,,,2022-08-08 13:56:18.142,-0.138,-0.026
,,,2022-08-08 13:56:18.643,-0.122,-0.026
,,,2022-08-08 13:56:19.142,-0.118,-0.011
,,,2022-08-08 13:56:19.642,-0.117,-0.024
,,,2022-08-08 13:56:20.145,-0.115,-0.028
,,,2022-08-08 13:56:20.642,-0.155,-0.041
,,,2022-08-08 13:56:21.142,-0.147,-0.033
,,,2022-08-08 13:56:21.643,-0.128,-0.024
,,,2022-08-08 13:56:22.142,-0.14,-0.016
,,,2022-08-08 13:56:22.642,-0.13,-0.033
,,,2022-08-08 13:56:23.143,-0.204,-0.016
,,,2022-08-08 13:56:23.642,-0.16,-0.029
,,,2022-08-08 13:56:24.143,-0.127,-0.029
,,,2022-08-08 13:56:24.642,-0.125,-0.016
,,,2022-08-08 13:56:25.143,-0.088,-0.046
,,,2022-08-08 13:56:25.642,-0.122,-0.023
,,,2022-08-08 13:56:26.142,-0.155,-0.029
,,,2022-08-08 13:56:26.643,-0.215,-0.026
,,,2022-08-08 13:56:27.142,-0.172,-0.024
,,,2022-08-08 13:56:27.643,-0.147,-0.033
