Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
,,,2022-07-26 13:58:29.904,-1.18828,-0.63598
,,,2022-07-26 13:58:30.403,-1.22176,-0.87029
,,,2022-07-26 13:58:30.904,-1.20502,-0.87029
,,,2022-07-26 13:58:31.403,-1.18828,-0.65272
,,,2022-07-26 13:58:31.903,-1.13808,-0.63598
,,,2022-07-26 13:58:32.403,-1.18828,-0.76987
,,,2022-07-26 13:58:32.903,-1.15481,-0.66946
,,,2022-07-26 13:58:33.404,-1.25523,-0.70293
,,,2022-07-26 13:58:33.903,-1.22176,-0.71967
,,,2022-07-26 13:58:34.404,-1.30544,-0.61925
,,,2022-07-26 13:58:34.903,-1.18828,-0.76987
,,,2022-07-26 13:58:35.403,-1.20502,-0.68619
,,,2022-07-26 13:58:35.903,-1.15481,-0.78661
,,,2022-07-26 13:58:36.403,-1.13808,-0.71967
,,,2022-07-26 13:58:36.903,-1.12134,-0.66946
,,,2022-07-26 13:58:37.402,-1.18828,-0.66946
,,,2022-07-26 13:58:37.903,-1.42259,-0.76987
,,,2022-07-26 13:58:38.403,-1.32218,-0.7364
,,,2022-07-26 13:58:38.903,-1.40586,-0.71967
,,,2022-07-26 13:58:39.403,-1.35565,-0.70293
,,,2022-07-26 13:58:39.902,-1.27197,-0.71967
,,,2022-07-26 13:58:40.403,-1.30544,-0.75314
,,,2022-07-26 13:58:40.904,-1.2887,-0.76987
,,,2022-07-26 13:58:41.411,-1.2887,-0.70293
,,,2022-07-26 13:58:41.904,-1.4728,-0.85356
,,,2022-07-26 13:58:42.404,-1.27197,-0.68619
,,,2022-07-26 13:58:42.903,-1.15481,-0.58577
,,,2022-07-26 13:58:43.403,-1.12134,-0.78661
,,,2022-07-26 13:58:43.903,-1.35565,-0.71967
,,,2022-07-26 13:58:44.403,-1.27197,-0.80335
,,,2022-07-26 13:58:44.903,-1.18828,-0.70293
,,,2022-07-26 13:58:45.402,-1.42259,-0.66946
,,,2022-07-26 13:58:45.902,-1.25523,-0.78661
,,,2022-07-26 13:58:46.402,-1.15481,-0.61925
,,,2022-07-26 13:58:46.903,-1.20502,-0.70293
,,,2022-07-26 13:58:47.402,-1.17155,-0.82008
,,,2022-07-26 13:58:47.903,-1.20502,-0.7364
,,,2022-07-26 13:58:48.404,-1.18828,-0.7364
,,,2022-07-26 13:58:48.903,-1.13808,-0.7364
,,,2022-07-26 13:58:49.403,-1.22176,-0.71967
,,,2022-07-26 13:58:49.904,-1.2887,-0.83682
,,,2022-07-26 13:58:50.403,-1.2887,-0.78661
,,,2022-07-26 13:58:50.904,-1.30544,-0.82008
,,,2022-07-26 13:58:51.404,-1.17155,-0.71967
,,,2022-07-26 13:58:51.903,-1.2887,-0.82008
,,,2022-07-26 13:58:52.403,-1.25523,-0.68619
,,,2022-07-26 13:58:52.902,-1.33891,-0.82008
,,,2022-07-26 13:58:53.403,-1.2887,-0.76987
,,,2022-07-26 13:58:53.904,-1.27197,-0.65272
,,,2022-07-26 13:58:54.402,-1.22176,-0.75314
,,,2022-07-26 13:58:54.902,-1.1046,-0.71967
,,,2022-07-26 13:58:55.403,-1.1046,-0.80335
,,,2022-07-26 13:58:55.904,-1.20502,-0.66946
,,,2022-07-26 13:58:56.404,-1.12134,-0.7364
,,,2022-07-26 13:58:56.904,-1.15481,-0.70293
,,,2022-07-26 13:58:57.403,-1.2887,-0.80335
,,,2022-07-26 13:58:57.904,-1.43933,-0.7364
,,,2022-07-26 13:58:58.404,-1.20502,-0.87029
,,,2022-07-26 13:58:58.903,-1.18828,-0.7364
,,,2022-07-26 13:58:59.403,-1.30544,-0.83682
,,,2022-07-26 13:58:59.904,-1.23849,-0.71967
,,,2022-07-26 13:59:00.402,-1.27197,-0.66946
,,,2022-07-26 13:59:00.902,-1.23849,-0.71967
,,,2022-07-26 13:59:01.402,-1.23849,-0.7364
,,,2022-07-26 13:59:01.902,-1.37238,-0.87029
,,,2022-07-26 13:59:02.402,-1.13808,-0.82008
,,,2022-07-26 13:59:02.902,-1.23849,-0.78661
,,,2022-07-26 13:59:03.403,-1.33891,-0.7364
,,,2022-07-26 13:59:03.903,-1.32218,-0.70293
,,,2022-07-26 13:59:04.403,-1.30544,-0.76987
,,,2022-07-26 13:59:04.903,-1.43933,-0.70293
,,,2022-07-26 13:59:05.403,-1.35565,-0.70293
,,,2022-07-26 13:59:05.903,-1.25523,-0.70293
,,,2022-07-26 13:59:06.403,-1.22176,-0.80335
,,,2022-07-26 13:59:06.903,-1.33891,-0.71967
,,,2022-07-26 13:59:07.403,-1.38912,-0.68619
,,,2022-07-26 13:59:07.902,-1.33891,-0.63598
,,,2022-07-26 13:59:08.402,-1.35565,-0.75314
,,,2022-07-26 13:59:08.902,-1.18828,-0.80335
,,,2022-07-26 13:59:09.402,-1.35565,-0.71967
,,,2022-07-26 13:59:09.902,-1.30544,-0.68619
,,,2022-07-26 13:59:10.402,-1.15481,-0.80335
,,,2022-07-26 13:59:10.903,-1.08787,-0.75314
,,,2022-07-26 13:59:11.404,-1.30544,-0.68619
,,,2022-07-26 13:59:11.903,-1.23849,-0.68619
,,,2022-07-26 13:59:12.403,-1.20502,-0.66946
,,,2022-07-26 13:59:12.904,-1.22176,-0.87029
,,,2022-07-26 13:59:13.404,-1.08787,-0.78661
,,,2022-07-26 13:59:13.904,-1.25523,-0.76987
,,,2022-07-26 13:59:14.403,-1.32218,-0.7364
,,,2022-07-26 13:59:14.903,-1.15481,-0.71967
,,,2022-07-26 13:59:15.403,-1.23849,-0.80335
,,,2022-07-26 13:59:15.902,-1.35565,-0.75314
,,,2022-07-26 13:59:16.402,-1.37238,-0.75314
,,,2022-07-26 13:59:16.902,-1.22176,-0.76987
,,,2022-07-26 13:59:17.402,-1.2887,-0.66946
,,,2022-07-26 13:59:17.902,-1.23849,-0.71967
,,,2022-07-26 13:59:18.403,-1.18828,-0.61925
,,,2022-07-26 13:59:18.904,-1.32218,-0.65272
,,,2022-07-26 13:59:19.402,-1.25523,-0.82008
,,,2022-07-26 13:59:19.903,-1.18828,-0.7364
,,,2022-07-26 13:59:20.404,-1.22176,-0.75314
,,,2022-07-26 13:59:20.904,-1.22176,-0.70293
,,,2022-07-26 13:59:21.404,-1.42259,-0.71967
,,,2022-07-26 13:59:21.903,-1.2887,-0.76987
,,,2022-07-26 13:59:22.403,-1.32218,-0.75314
,,,2022-07-26 13:59:22.902,-1.23849,-0.71967
,,,2022-07-26 13:59:23.402,-1.33891,-0.75314
,,,2022-07-26 13:59:23.903,-1.1046,-0.80335
,,,2022-07-26 13:59:24.404,-1.27197,-0.70293
,,,2022-07-26 13:59:24.903,-1.27197,-0.66946
,,,2022-07-26 13:59:25.403,-1.20502,-0.87029
,,,2022-07-26 13:59:25.903,-1.32218,-0.7364
,,,2022-07-26 13:59:26.403,-1.27197,-0.80335
,,,2022-07-26 13:59:26.904,-1.1046,-0.82008
,,,2022-07-26 13:59:27.403,-1.2887,-0.71967
,,,2022-07-26 13:59:27.904,-1.30544,-0.68619
,,,2022-07-26 13:59:28.403,-1.13808,-0.85356
,,,2022-07-26 13:59:28.905,-1.25523,-0.70293
,,,2022-07-26 13:59:29.403,-1.20502,-0.68619
,,,2022-07-26 13:59:29.904,-1.37238,-0.66946
,,,2022-07-26 13:59:30.402,-1.23849,-0.7364
,,,2022-07-26 13:59:30.902,-1.25523,-0.78661
,,,2022-07-26 13:59:31.403,-1.23849,-0.80335
,,,2022-07-26 13:59:31.902,-1.32218,-0.76987
,,,2022-07-26 13:59:32.402,-1.13808,-0.7364
,,,2022-07-26 13:59:32.903,-1.30544,-0.63598
,,,2022-07-26 13:59:33.403,-1.20502,-0.68619
,,,2022-07-26 13:59:33.903,-1.22176,-0.75314
,,,2022-07-26 13:59:34.404,-1.22176,-0.70293
,,,2022-07-26 13:59:34.903,-1.27197,-0.70293
,,,2022-07-26 13:59:35.402,-1.37238,-0.71967
,,,2022-07-26 13:59:35.904,-1.33891,-0.71967
,,,2022-07-26 13:59:36.404,-1.33891,-0.65272
,,,2022-07-26 13:59:36.903,-1.33891,-0.68619
,,,2022-07-26 13:59:37.404,-1.20502,-0.83682
,,,2022-07-26 13:59:37.903,-1.1046,-0.85356
,,,2022-07-26 13:59:38.402,-1.18828,-0.78661
,,,2022-07-26 13:59:38.903,-1.22176,-0.76987
,,,2022-07-26 13:59:39.402,-1.17155,-0.76987
,,,2022-07-26 13:59:39.902,-1.22176,-0.76987
,,,2022-07-26 13:59:40.402,-1.33891,-0.78661
,,,2022-07-26 13:59:40.903,-1.32218,-0.75314
,,,2022-07-26 13:59:41.404,-1.25523,-0.68619
,,,2022-07-26 13:59:41.902,-1.27197,-0.87029
,,,2022-07-26 13:59:42.403,-1.25523,-0.87029
,,,2022-07-26 13:59:42.904,-1.33891,-0.75314
,,,2022-07-26 13:59:43.403,-1.25523,-0.66946
,,,2022-07-26 13:59:43.904,-1.17155,-0.70293
,,,2022-07-26 13:59:44.404,-1.30544,-0.71967
,,,2022-07-26 13:59:44.903,-1.27197,-0.66946
,,,2022-07-26 13:59:45.403,-1.18828,-0.71967
,,,2022-07-26 13:59:45.903,-1.33891,-0.76987
,,,2022-07-26 13:59:46.403,-1.30544,-0.80335
,,,2022-07-26 13:59:46.903,-1.15481,-0.82008
,,,2022-07-26 13:59:47.403,-1.40586,-0.68619
,,,2022-07-26 13:59:47.903,-1.32218,-0.66946
,,,2022-07-26 13:59:48.404,-1.17155,-0.7364
,,,2022-07-26 13:59:48.902,-1.42259,-0.80335
,,,2022-07-26 13:59:49.403,-1.32218,-0.66946
,,,2022-07-26 13:59:49.903,-1.2887,-0.70293
,,,2022-07-26 13:59:50.403,-1.27197,-0.68619
,,,2022-07-26 13:59:50.903,-1.2887,-0.63598
,,,2022-07-26 13:59:51.404,-1.23849,-0.70293
,,,2022-07-26 13:59:51.904,-1.27197,-0.70293
,,,2022-07-26 13:59:52.406,-1.30544,-0.71967
,,,2022-07-26 13:59:52.903,-1.27197,-0.85356
,,,2022-07-26 13:59:53.403,-1.23849,-0.80335
,,,2022-07-26 13:59:53.904,-1.2887,-0.85356
,,,2022-07-26 13:59:54.403,-1.30544,-0.68619
,,,2022-07-26 13:59:54.902,-1.30544,-0.7364
,,,2022-07-26 13:59:55.403,-1.22176,-0.76987
,,,2022-07-26 13:59:55.903,-1.18828,-0.68619
,,,2022-07-26 13:59:56.403,-1.2887,-0.68619
,,,2022-07-26 13:59:56.903,-1.27197,-0.66946
,,,2022-07-26 13:59:57.404,-1.2887,-0.65272
,,,2022-07-26 13:59:57.903,-1.40586,-0.75314
,,,2022-07-26 13:59:58.404,-1.20502,-0.65272
,,,2022-07-26 13:59:58.902,-1.30544,-0.76987
,,,2022-07-26 13:59:59.403,-1.22176,-0.80335
,,,2022-07-26 13:59:59.903,-1.22176,-0.71967
,,,2022-07-26 14:00:00.404,-1.22176,-0.78661
,,,2022-07-26 14:00:00.903,-1.35565,-0.63598
,,,2022-07-26 14:00:01.403,-1.20502,-0.88703
,,,2022-07-26 14:00:01.903,-1.27197,-0.68619
,,,2022-07-26 14:00:02.403,-1.38912,-0.7364
,,,2022-07-26 14:00:02.904,-1.37238,-0.70293
,,,2022-07-26 14:00:03.403,-1.25523,-0.7364
,,,2022-07-26 14:00:03.903,-1.27197,-0.78661
,,,2022-07-26 14:00:04.404,-1.32218,-0.76987
,,,2022-07-26 14:00:04.903,-1.2887,-0.70293
,,,2022-07-26 14:00:05.402,-1.30544,-0.78661
,,,2022-07-26 14:00:05.903,-1.32218,-0.78661
,,,2022-07-26 14:00:06.404,-1.13808,-0.71967
,,,2022-07-26 14:00:06.903,-1.1046,-0.66946
,,,2022-07-26 14:00:07.403,-1.27197,-0.71967
,,,2022-07-26 14:00:07.903,-1.32218,-0.75314
,,,2022-07-26 14:00:08.404,-1.2887,-0.68619
,,,2022-07-26 14:00:08.904,-1.2887,-0.7364
,,,2022-07-26 14:00:09.403,-1.13808,-0.85356
,,,2022-07-26 14:00:09.902,-1.25523,-0.80335
,,,2022-07-26 14:00:10.402,-1.30544,-0.7364
,,,2022-07-26 14:00:10.903,-1.2887,-0.80335
,,,2022-07-26 14:00:11.403,-1.25523,-0.80335
,,,2022-07-26 14:00:11.903,-1.37238,-0.60251
,,,2022-07-26 14:00:12.403,-1.17155,-0.78661
,,,2022-07-26 14:00:12.904,-1.32218,-0.82008
,,,2022-07-26 14:00:13.403,-1.33891,-0.78661
,,,2022-07-26 14:00:13.904,-1.38912,-0.7364
,,,2022-07-26 14:00:14.404,-1.25523,-0.60251
,,,2022-07-26 14:00:14.903,-1.2887,-0.71967
,,,2022-07-26 14:00:15.403,-1.22176,-0.85356
,,,2022-07-26 14:00:15.903,-1.18828,-0.76987
,,,2022-07-26 14:00:16.403,-1.25523,-0.7364
,,,2022-07-26 14:00:16.903,-1.30544,-0.68619
,,,2022-07-26 14:00:17.403,-1.20502,-0.75314
,,,2022-07-26 14:00:17.903,-1.23849,-0.78661
